length,bc,mergesort,stl_sort,speedup
32768,1,80.754556,0.00405511,0.00537416
32768,2,80.312596,0.00426208,0.0136345
32768,3,80.353726,0.00428899,0.0121252
32768,4,80.15331,0.00374177,0.0244066
32768,5,80.157226,0.00391136,0.0248772
32768,6,80.168115,0.00331296,0.0197064
32768,7,80.177032,0.00338617,0.0191275
32768,8,80.0710508,0.00424022,0.0596787
32768,9,80.0701719,0.00323945,0.0461644
32768,10,80.079818,0.00347333,0.0435156
32768,11,80.0729186,0.00385241,0.0528316
32768,12,80.0749745,0.00374196,0.0499098
32768,13,80.072109,0.0038499,0.0533901
32768,14,80.0748549,0.00382829,0.0511428
32768,15,80.0742503,0.00358075,0.0482254
32768,16,80.0363131,0.00355706,0.0979555
32768,17,80.0357012,0.0033203,0.0930023
32768,18,80.0362307,0.00426722,0.117779
32768,19,80.0361263,0.00426069,0.117939
32768,20,80.0360963,0.00351369,0.0973422
32768,21,80.0364312,0.00338007,0.0927796
32768,22,80.0358799,0.00332983,0.0928047
32768,23,80.0355236,0.00432487,0.121746
32768,24,80.0351071,0.00392275,0.111737
32768,25,80.0358142,0.00363342,0.101452
32768,26,80.0348152,0.00379703,0.109062
32768,27,80.0349566,0.00381654,0.109179
32768,28,80.0333764,0.0035849,0.107408
32768,29,80.0349504,0.00423493,0.12117
32768,30,80.0363157,0.00358334,0.0986718
32768,31,80.0338541,0.00367071,0.108427
32768,32,80.0140912,0.00394116,0.279689
32768,33,80.0161937,0.00386301,0.238549
32768,34,80.0149158,0.00383917,0.25739
32768,35,80.0151674,0.00386711,0.254962
32768,36,80.0165637,0.00386408,0.233286
32768,37,80.0140841,0.00393773,0.279588
32768,38,80.0167633,0.00378227,0.225629
32768,39,80.016059,0.00379105,0.23607
32768,40,80.0148974,0.00374419,0.251332
32768,41,80.0165537,0.00402471,0.243131
32768,42,80.0154938,0.00375818,0.24256
32768,43,80.0162568,0.00375159,0.23077
32768,44,80.0150582,0.00371828,0.246928
32768,45,80.0162164,0.00378363,0.233322
32768,46,80.0171401,0.00361874,0.211127
32768,47,80.0168923,0.00398034,0.235631
32768,48,80.0165832,0.00365805,0.220588
32768,49,80.0165408,0.0037721,0.228048
32768,50,80.0160292,0.00383436,0.239212
32768,51,80.0158109,0.003784,0.239328
32768,52,80.016879,0.0037027,0.219368
32768,53,80.0158238,0.00362671,0.229193
32768,54,80.0161253,0.00402557,0.249643
32768,55,80.014677,0.00377185,0.256991
32768,56,80.0157608,0.00375901,0.238504
32768,57,80.0154023,0.00374306,0.24302
32768,58,80.0168597,0.00375132,0.222503
32768,59,80.0170257,0.00377218,0.221558
32768,60,80.016616,0.00365736,0.220111
32768,61,80.0146397,0.00371214,0.253567
32768,62,80.0156741,0.00374707,0.239061
32768,63,80.016732,0.00377367,0.225537
32768,64,80.00696333,0.00361211,0.518733
32768,65,80.00696858,0.00385344,0.552973
32768,66,80.00767812,0.00359648,0.468406
32768,67,80.00740127,0.0037977,0.513115
32768,68,80.00696509,0.003992,0.573144
32768,69,80.00732032,0.00372653,0.509066
32768,70,80.00708899,0.00422517,0.596018
32768,71,80.00796377,0.0036119,0.453541
32768,72,80.00733438,0.00369807,0.504211
32768,73,80.00632493,0.00368266,0.582245
32768,74,80.00765058,0.00383373,0.501103
32768,75,80.00723145,0.00376601,0.520783
32768,76,80.00703983,0.00372956,0.529781
32768,77,80.00715888,0.00400724,0.559758
32768,78,80.00755177,0.00361688,0.478946
32768,79,80.00711849,0.00357929,0.502816
32768,80,80.00754203,0.00388014,0.514469
32768,81,80.00707418,0.00390771,0.552391
32768,82,80.00623314,0.0042499,0.681823
32768,83,80.00702151,0.00357948,0.509788
32768,84,80.00647909,0.00389954,0.601865
32768,85,80.00789474,0.00378484,0.479413
32768,86,80.00725309,0.00385116,0.530968
32768,87,80.00707922,0.00391781,0.553423
32768,88,80.00754187,0.00382806,0.507575
32768,89,80.0074518,0.00363763,0.488154
32768,90,80.00701196,0.00360433,0.514025
32768,91,80.00716441,0.00370066,0.516535
32768,92,80.00694516,0.00394759,0.568394
32768,93,80.00688618,0.00393095,0.570846
32768,94,80.00630364,0.00389104,0.617269
32768,95,80.00712168,0.00378738,0.53181
32768,96,80.00667978,0.00381848,0.571647
32768,97,80.00637671,0.00388904,0.609883
32768,98,80.00738074,0.00368386,0.499117
32768,99,80.00653761,0.00367222,0.561706
32768,100,80.00728435,0.00353431,0.485192
32768,101,80.0064878,0.00393683,0.606805
32768,102,80.00709761,0.00362352,0.510528
32768,103,80.00610214,0.00371644,0.609039
32768,104,80.00723083,0.00363612,0.502863
32768,105,80.00649224,0.00372637,0.573973
32768,106,80.00748207,0.00358967,0.479769
32768,107,80.00702358,0.00410534,0.584508
32768,108,80.00699905,0.00383876,0.548469
32768,109,80.00672459,0.0035951,0.53462
32768,110,80.00738029,0.00359114,0.486585
32768,111,80.00678577,0.00397935,0.586425
32768,112,80.00802233,0.00370792,0.4622
32768,113,80.00680429,0.00406932,0.598052
32768,114,80.00733514,0.00356758,0.486368
32768,115,80.00700396,0.00395234,0.5643
32768,116,80.00677699,0.0037088,0.547264
32768,117,80.00778915,0.00389264,0.499751
32768,118,80.00797714,0.00384046,0.481433
32768,119,80.00759201,0.00361829,0.476592
32768,120,80.00698399,0.00394775,0.565258
32768,121,80.00677511,0.00376802,0.556156
32768,122,80.00743434,0.00377969,0.508409
32768,123,80.00695736,0.00395848,0.568963
32768,124,80.00675214,0.00364878,0.540389
32768,125,80.00721385,0.00357591,0.4957
32768,126,80.00676304,0.00364823,0.539436
32768,127,80.00662328,0.00390639,0.589797
32768,128,80.00298057,0.00359974,1.20773
32768,129,80.00288192,0.00370187,1.28452
32768,130,80.00324742,0.00387815,1.19422
32768,131,80.00283415,0.00383346,1.3526
32768,132,80.00296827,0.00395003,1.33075
