n,bc,num_threads,mergesort_time,stl_sort_time,speedup
1000000,1,8,72.1304,0.168719,0.00233908
1000000,3,8,35.5367,0.169242,0.00476246
1000000,5,8,17.3614,0.168383,0.0096987
1000000,7,8,15.2073,0.16846,0.0110776
1000000,9,8,8.40909,0.168422,0.0200286
1000000,11,8,8.53923,0.168417,0.0197227
1000000,13,8,8.72261,0.174597,0.0200165
1000000,15,8,4.78494,0.16867,0.0352502
1000000,17,8,4.09854,0.168492,0.0411102
1000000,19,8,3.71764,0.170628,0.045897
1000000,21,8,4.23935,0.166874,0.039363
1000000,23,8,3.51655,0.172807,0.049141
1000000,25,8,4.05242,0.174627,0.0430921
1000000,27,8,3.18152,0.167769,0.0527324
1000000,29,8,3.81582,0.166934,0.0437479
1000000,31,8,1.51673,0.167585,0.110491
1000000,33,8,1.87871,0.169746,0.0903522
1000000,35,8,1.70189,0.173356,0.101861
1000000,37,8,1.35084,0.168292,0.124583
1000000,39,8,1.92617,0.168359,0.0874065
1000000,41,8,1.7601,0.168369,0.0956588
1000000,43,8,1.44631,0.16677,0.115307
1000000,45,8,1.94435,0.17613,0.0905854
1000000,47,8,1.84804,0.17474,0.0945541
1000000,49,8,1.57729,0.168354,0.106736
1000000,51,8,1.74095,0.168163,0.0965922
1000000,53,8,1.7288,0.168704,0.0975844
1000000,55,8,1.77163,0.173328,0.0978351
1000000,57,8,1.73502,0.167895,0.0967682
1000000,59,8,1.4609,0.166937,0.11427
1000000,61,8,0.867658,0.167047,0.192526
1000000,63,8,0.73096,0.167259,0.228822
1000000,65,8,0.790962,0.166692,0.210746
1000000,67,8,0.771424,0.166963,0.216434
1000000,69,8,0.779675,0.16556,0.212345
1000000,71,8,0.771189,0.167545,0.217256
1000000,73,8,0.804676,0.167852,0.208596
1000000,75,8,0.833782,0.166874,0.200142
1000000,77,8,0.629183,0.16753,0.266266
1000000,79,8,0.906202,0.168587,0.186037
1000000,81,8,0.847668,0.167688,0.197823
1000000,83,8,0.818049,0.166351,0.203351
1000000,85,8,0.803318,0.167756,0.208829
1000000,87,8,0.748926,0.16787,0.224147
1000000,89,8,0.785007,0.167987,0.213994
1000000,91,8,0.942205,0.166118,0.176308
1000000,93,8,0.797805,0.165705,0.207701
1000000,95,8,0.786328,0.167286,0.212743
1000000,97,8,0.846736,0.167107,0.197354
1000000,99,8,0.694493,0.167709,0.241485
1000000,100,8,0.423163,0.167118,0.394924
1000000,200,8,0.253375,0.167113,0.659548
1000000,300,8,0.113507,0.167382,1.47464
1000000,400,8,0.149992,0.167202,1.11473
1000000,500,8,0.0552996,0.167535,3.02958
1000000,600,8,0.0705715,0.167269,2.3702
1000000,700,8,0.0724367,0.167087,2.30667
1000000,800,8,0.0718314,0.167152,2.32701
1000000,900,8,0.0544351,0.166908,3.06618
1000000,1000,8,0.0423192,0.167228,3.95158
1000000,1100,8,0.0429573,0.16646,3.87502
1000000,1200,8,0.0405203,0.167032,4.12219
1000000,1300,8,0.0450321,0.166007,3.68641
1000000,1400,8,0.0414948,0.167296,4.03174
1000000,1500,8,0.0461673,0.165564,3.58618
1000000,1600,8,0.0400593,0.165945,4.14249
1000000,1700,8,0.0438739,0.165871,3.78063
1000000,1800,8,0.0427558,0.165623,3.8737
1000000,1900,8,0.0452234,0.167198,3.69717
1000000,2000,8,0.0330975,0.167452,5.05935
1000000,2100,8,0.03152,0.166896,5.29493
1000000,2200,8,0.0356457,0.166726,4.67732
1000000,2300,8,0.0352456,0.166635,4.72784
1000000,2400,8,0.0371721,0.167177,4.49737
1000000,2500,8,0.0353365,0.167664,4.74479
1000000,2600,8,0.0337988,0.167505,4.95594
1000000,2700,8,0.0355065,0.16743,4.71548
1000000,2800,8,0.0324571,0.166834,5.14014
1000000,2900,8,0.0353481,0.166792,4.71854
1000000,3000,8,0.0347914,0.165976,4.77059
1000000,3100,8,0.0368295,0.166088,4.50965
1000000,3200,8,0.0355863,0.16546,4.64954
1000000,3300,8,0.0349305,0.167029,4.78177
1000000,3400,8,0.0342771,0.167405,4.88389
1000000,3500,8,0.0361456,0.16578,4.58645
1000000,3600,8,0.0367093,0.165943,4.52047
1000000,3700,8,0.035153,0.167303,4.75929
1000000,3800,8,0.0347504,0.167082,4.80807
1000000,3900,8,0.0350906,0.167267,4.76673
1000000,4000,8,0.0324301,0.167182,5.15513
1000000,4100,8,0.032497,0.168799,5.1943
1000000,4200,8,0.0325296,0.167155,5.13855
1000000,4300,8,0.0299415,0.167213,5.58465
1000000,4400,8,0.0327506,0.167055,5.10083
1000000,4500,8,0.0345418,0.166962,4.83362
1000000,4600,8,0.0359583,0.16741,4.65568
1000000,4700,8,0.0333356,0.167473,5.02386
1000000,4800,8,0.0337167,0.16604,4.92456
1000000,4900,8,0.0337867,0.165433,4.89638
1000000,5000,8,0.033469,0.165643,4.94916
1000000,5100,8,0.0326902,0.165863,5.07379
1000000,5200,8,0.0335051,0.165423,4.93726
1000000,5300,8,0.031018,0.165183,5.32538
1000000,5400,8,0.0291182,0.16543,5.68131
1000000,5500,8,0.0327691,0.166722,5.08778
1000000,5600,8,0.0312383,0.167292,5.35536
1000000,5700,8,0.0337314,0.167288,4.95941
1000000,5800,8,0.0326382,0.167454,5.13062
1000000,5900,8,0.0327095,0.166902,5.10255
1000000,6000,8,0.0327903,0.166901,5.08995
1000000,6100,8,0.0295328,0.168359,5.70075
1000000,6200,8,0.0321775,0.167959,5.21977
1000000,6300,8,0.0341411,0.16729,4.89994
1000000,6400,8,0.0335127,0.166145,4.95767
1000000,6500,8,0.0324208,0.165727,5.11173
1000000,6600,8,0.0344783,0.167428,4.85604
1000000,6700,8,0.0334784,0.165866,4.95444
1000000,6800,8,0.0329649,0.166466,5.04979
1000000,6900,8,0.0310802,0.166648,5.36188
1000000,7000,8,0.0331559,0.166521,5.02235
1000000,7100,8,0.0321964,0.165382,5.13668
1000000,7200,8,0.0330168,0.165709,5.01893
1000000,7300,8,0.0315502,0.167072,5.29545
1000000,7400,8,0.0333875,0.167421,5.01448
1000000,7500,8,0.0331937,0.16755,5.04765
1000000,7600,8,0.0325995,0.167224,5.12965
1000000,7700,8,0.0323087,0.168408,5.21247
1000000,7800,8,0.0322359,0.167638,5.20035
1000000,7900,8,0.030859,0.167125,5.41576
1000000,8000,8,0.0321067,0.167199,5.2076
1000000,8100,8,0.0315311,0.166954,5.29491
1000000,8200,8,0.0343323,0.166945,4.86262
1000000,8300,8,0.0308689,0.167255,5.41824
1000000,8400,8,0.0326117,0.166095,5.0931
1000000,8500,8,0.030718,0.1654,5.38448
1000000,8600,8,0.030146,0.165536,5.49115
1000000,8700,8,0.0330966,0.165577,5.00284
1000000,8800,8,0.0332535,0.165657,4.98166
1000000,8900,8,0.033106,0.165921,5.01181
1000000,9000,8,0.0282265,0.165595,5.86664
1000000,9100,8,0.0321988,0.167199,5.19272
1000000,9200,8,0.0318484,0.167148,5.24825
1000000,9300,8,0.0323986,0.167103,5.15771
1000000,9400,8,0.0340246,0.167186,4.91369
1000000,9500,8,0.033433,0.16723,5.00192
1000000,9600,8,0.0322118,0.167267,5.19272
1000000,9700,8,0.0306648,0.16726,5.45446
1000000,9800,8,0.0331068,0.167255,5.05199
1000000,9900,8,0.0313731,0.167387,5.33537
1000000,10000,8,0.0301218,0.166245,5.51911
1000000,10100,8,0.0350552,0.166185,4.74067
1000000,10200,8,0.0286862,0.166791,5.81433
1000000,10300,8,0.0310689,0.166446,5.35731
1000000,10400,8,0.0309507,0.165961,5.36212
1000000,10500,8,0.0322199,0.165637,5.14083
1000000,10600,8,0.0317332,0.166456,5.2455
1000000,10700,8,0.0321765,0.167652,5.21039
1000000,10800,8,0.0287435,0.167207,5.81721
1000000,10900,8,0.0287689,0.167232,5.81295
1000000,11000,8,0.0329237,0.167212,5.07877
1000000,11100,8,0.0310576,0.167144,5.38172
1000000,11200,8,0.0321659,0.167675,5.21282
1000000,11300,8,0.032531,0.167656,5.15374
1000000,11400,8,0.0311795,0.167339,5.36696
1000000,11500,8,0.0327124,0.16734,5.1155
1000000,11600,8,0.0291441,0.167529,5.74829
1000000,11700,8,0.0341379,0.167347,4.90208
1000000,11800,8,0.0336939,0.167634,4.97522
1000000,11900,8,0.033636,0.167511,4.98012
1000000,12000,8,0.0328023,0.167357,5.10199
1000000,12100,8,0.0295482,0.167397,5.66521
1000000,12200,8,0.0317501,0.167173,5.26528
1000000,12300,8,0.031839,0.167394,5.25751
1000000,12400,8,0.0324396,0.167524,5.16418
1000000,12500,8,0.0284082,0.167769,5.90565
1000000,12600,8,0.0319482,0.16739,5.23941
1000000,12700,8,0.0302826,0.167352,5.52634
1000000,12800,8,0.0329393,0.16737,5.08117
1000000,12900,8,0.0324964,0.168686,5.1909
1000000,13000,8,0.030993,0.167458,5.40308
1000000,13100,8,0.0346162,0.168993,4.88191
1000000,13200,8,0.0315271,0.167157,5.30202
1000000,13300,8,0.0314343,0.167106,5.31604
1000000,13400,8,0.0336259,0.167454,4.97992
1000000,13500,8,0.031642,0.167126,5.28179
1000000,13600,8,0.0331427,0.166822,5.03345
1000000,13700,8,0.0332088,0.167298,5.03776
1000000,13800,8,0.0314764,0.165814,5.26787
1000000,13900,8,0.0309683,0.165842,5.35523
1000000,14000,8,0.0329942,0.165829,5.02602
1000000,14100,8,0.0319361,0.167503,5.24495
1000000,14200,8,0.0315308,0.165916,5.26203
1000000,14300,8,0.0324874,0.167459,5.15459
1000000,14400,8,0.032785,0.167379,5.10534
1000000,14500,8,0.0286717,0.166849,5.81927
1000000,14600,8,0.0312549,0.167902,5.372
1000000,14700,8,0.0317753,0.166005,5.22433
1000000,14800,8,0.0327959,0.166169,5.06676
1000000,14900,8,0.0337922,0.167322,4.95151
1000000,15000,8,0.0325199,0.165949,5.103
1000000,15100,8,0.0295474,0.166031,5.61913
1000000,15200,8,0.0337598,0.165771,4.91031
1000000,15300,8,0.0326943,0.166177,5.08277
1000000,15400,8,0.0331869,0.167155,5.03676
1000000,15500,8,0.0331116,0.166874,5.03975
1000000,15600,8,0.0329413,0.167625,5.08859
1000000,15700,8,0.0328891,0.166049,5.04874
1000000,15800,8,0.0351833,0.166056,4.71976
1000000,15900,8,0.0288508,0.166006,5.75394
1000000,16000,8,0.029738,0.166237,5.59008
1000000,16100,8,0.0325812,0.165941,5.09315
1000000,16200,8,0.0327268,0.167191,5.10869
1000000,16300,8,0.0322359,0.167122,5.18434
1000000,16400,8,0.0322331,0.167389,5.19309
1000000,16500,8,0.0332934,0.167245,5.02335
1000000,16600,8,0.030654,0.167104,5.45129
1000000,16700,8,0.0330921,0.167409,5.05888
1000000,16800,8,0.0327646,0.167059,5.09878
1000000,16900,8,0.0335311,0.167135,4.9845
1000000,17000,8,0.0284838,0.167231,5.87108
1000000,17100,8,0.0327746,0.167336,5.10566
1000000,17200,8,0.0327992,0.167204,5.09781
1000000,17300,8,0.0328458,0.166764,5.07718
1000000,17400,8,0.0308909,0.167572,5.42464
1000000,17500,8,0.0317468,0.165903,5.22581
1000000,17600,8,0.0326282,0.16745,5.13207
1000000,17700,8,0.0327501,0.167556,5.1162
1000000,17800,8,0.030958,0.165767,5.35458
1000000,17900,8,0.034517,0.167163,4.84291
1000000,18000,8,0.0293052,0.165925,5.66197
1000000,18100,8,0.0319994,0.167231,5.22606
1000000,18200,8,0.0327784,0.16715,5.09939
1000000,18300,8,0.0309149,0.167214,5.40886
1000000,18400,8,0.0338521,0.167237,4.94024
1000000,18500,8,0.0318307,0.167343,5.25728
1000000,18600,8,0.0279416,0.167373,5.99009
1000000,18700,8,0.0303335,0.167045,5.50694
1000000,18800,8,0.0340725,0.166371,4.88286
1000000,18900,8,0.0327097,0.167467,5.11981
1000000,19000,8,0.0332567,0.167257,5.02927
1000000,19100,8,0.0322523,0.166426,5.16012
1000000,19200,8,0.0327524,0.166081,5.0708
1000000,19300,8,0.0311056,0.16619,5.34276
1000000,19400,8,0.0332363,0.166319,5.00413
1000000,19500,8,0.0334843,0.165969,4.95661
1000000,19600,8,0.0299778,0.167434,5.58527
1000000,19700,8,0.032367,0.166416,5.14153
1000000,19800,8,0.0323848,0.167336,5.1671
1000000,19900,8,0.0315932,0.166962,5.28473
1000000,20000,8,0.0333643,0.16747,5.01943
1000000,20100,8,0.0326167,0.16764,5.13971
1000000,20200,8,0.0320294,0.167182,5.21963
1000000,20300,8,0.0333485,0.167386,5.0193
1000000,20400,8,0.030821,0.167366,5.43028
1000000,20500,8,0.032704,0.166988,5.10604
1000000,20600,8,0.0327193,0.167594,5.12216
1000000,20700,8,0.0319764,0.167813,5.24801
1000000,20800,8,0.02876,0.166944,5.80473
1000000,20900,8,0.0303769,0.166181,5.47064
1000000,21000,8,0.0337219,0.167186,4.95779
